--------------------------------------------------------------------------------
Marvellous Infosystems Process Log
Log Generated at : Fri Jul 31 19:53:06 2026
--------------------------------------------------------------------------------
PID       Process Name                       Username
12648     RuntimeBroker.exe                  MAYURESH\mayur
12704     CrossDeviceService.exe             MAYURESH\mayur
12972     Widgets.exe                        MAYURESH\mayur
13052     SearchHost.exe                     MAYURESH\mayur
13112     StartMenuExperienceHost.exe        MAYURESH\mayur
13288     svchost.exe                        MAYURESH\mayur
13348     chrome.exe                         MAYURESH\mayur
13788     powershell.exe                     MAYURESH\mayur
13860     ms-teams.exe                       MAYURESH\mayur
13908     Code.exe                           MAYURESH\mayur
14132     OneDrive.exe                       MAYURESH\mayur
14224     AppActions.exe                     MAYURESH\mayur
14364     svchost.exe                        None
14496     msedgewebview2.exe                 MAYURESH\mayur
14608     msedgewebview2.exe                 MAYURESH\mayur
14688     RuntimeBroker.exe                  MAYURESH\mayur
14936     msedgewebview2.exe                 MAYURESH\mayur
14944     msedgewebview2.exe                 MAYURESH\mayur
15012     RevitAccelerator.exe               MAYURESH\mayur
15152     msedgewebview2.exe                 MAYURESH\mayur
15328     msedgewebview2.exe                 MAYURESH\mayur
15352     mscopilot_proxy.exe                MAYURESH\mayur
15560     AdskAccessCore.exe                 MAYURESH\mayur
15628     NisSrv.exe                         None
15648     svchost.exe                        None
15688     SecurityHealthSystray.exe          MAYURESH\mayur
15736     SecurityHealthService.exe          None
15812     AdskIdentityManager.exe            MAYURESH\mayur
15940     AdskAccessService.exe              MAYURESH\mayur
16004     Code.exe                           MAYURESH\mayur
16136     TextInputHost.exe                  MAYURESH\mayur
16224     ShellExperienceHost.exe            MAYURESH\mayur
16800     AdskAccessUIHost.exe               MAYURESH\mayur
16836     AdskAccessUIHost.exe               MAYURESH\mayur
17000     AdskAccessUIHost.exe               MAYURESH\mayur
17028     AdskAccessUIHost.exe               MAYURESH\mayur
17360     Code.exe                           MAYURESH\mayur
17440     Code.exe                           MAYURESH\mayur
17508     OpenConsole.exe                    MAYURESH\mayur
17524     Code.exe                           MAYURESH\mayur
17560     powershell.exe                     MAYURESH\mayur
17772     Code.exe                           MAYURESH\mayur
17812     chrome.exe                         MAYURESH\mayur
17984     Code.exe                           MAYURESH\mayur
18280     dllhost.exe                        MAYURESH\mayur
18320     conhost.exe                        MAYURESH\mayur
18376     FortiSSLVPNdaemon.exe              None
18448     msedgewebview2.exe                 MAYURESH\mayur
18488     msedgewebview2.exe                 MAYURESH\mayur
18696     msedgewebview2.exe                 MAYURESH\mayur
18704     msedgewebview2.exe                 MAYURESH\mayur
18748     msedgewebview2.exe                 MAYURESH\mayur
18812     python.exe                         MAYURESH\mayur
18876     msedgewebview2.exe                 MAYURESH\mayur
18932     chrome.exe                         MAYURESH\mayur
19108     ms-teams.exe                       MAYURESH\mayur
19148     browserhost.exe                    MAYURESH\mayur
19260     svchost.exe                        None
19432     msedgewebview2.exe                 MAYURESH\mayur
19484     WmiPrvSE.exe                       None
19528     chrome.exe                         MAYURESH\mayur
19660     CCXProcess.exe                     MAYURESH\mayur
19672     node.exe                           MAYURESH\mayur
19676     conhost.exe                        MAYURESH\mayur
19684     conhost.exe                        MAYURESH\mayur
19692     SDXHelper.exe                      MAYURESH\mayur
19732     Code.exe                           MAYURESH\mayur
19828     Code.exe                           MAYURESH\mayur
19832     Code.exe                           MAYURESH\mayur
19924     svchost.exe                        None
19944     AdobeIPCBroker.exe                 MAYURESH\mayur
20192     WidgetService.exe                  MAYURESH\mayur
20200     RuntimeBroker.exe                  MAYURESH\mayur
20232     BraveCrashHandler.exe              MAYURESH\mayur
20316     svchost.exe                        MAYURESH\mayur
20372     GenuineService.exe                 MAYURESH\mayur
--------------------------------------------------------------------------------
